id,speaker,line_text,"Sentiment (Negative=-1, Neutral=0, Positive=1)"
59807,Andy,"It's only 6:00. Come on, everybody's going.",
970,Dwight,"I could tell, from the body language.",
24088,Andy,[buzzer noise] We were looking for 'kitten.',
55605,Pam,"Get it, girl!",
19176,Jan,"Well, why are you sitting on a train?  Where are you going?",
53702,Jim,[to Pam] I'm so sorry for all of this.,
1324,Phyllis,I have a sports bra.,
57322,Toby,"This is the prison. Uh, I am not going in there with expectations, per say. Uh, I will meet George Howard Scubb. I will tell him that I believe he is innocent. I would understand if he felt motivated to hug me. I would understand if a friendship began. How did, how did Bogart put it? [imitating Humphrey Bogart] I think this is a start of my first friendship.",
58435,Angela,[throws plane far] Oh my god! Oh my god. Ok it's your turn. [Toby crumples plane and steps aside.,
52556,Andy,"Look, I'm not here to get my old job back. I had my opportunity, I blew it, I'm moving on. I just wanted to come in here and literally beg you for something, anything. I will sweep the floors, water the plants...",
10136,Michael,Do you want an M&M?,
8948,Dwight,Him or me?,
3302,Jim,All right. Let's move on. Let's move on to the main event. Who Would You Do?,
2730,Michael,Maybe.,
43883,Michael,That's what I've heard.,
2790,Dwight,Check it out. [points at sunglasses] Terminator.,
6896,Michael,"Well I hated it!  A lot!  Okay, I... you know what?  If the guilty person would just come forward and take their punishment, we'd be done . [no one comes forward]  Very well.  Then you are all punished.",
45444,Erin,[trying to cut off Phyllis] I... I don't think I can do that.,
53761,Erin,I am so excited thinking about this child you're going to adopt.,
35565,Kevin,"Our ultra feast menu's theme:  Hollywood.  We have Ratatouille, from Ratatouille, and tandoori chicken, from Born Into Brothels.  I tried to bake a cake like that District 9 prawn thing, but I...  Are you okay?",
21786,Meredith,"Guys, do we have to stay all day?",
20451,Jan,"Yes, Michael is going to be cross-examined today, which'll be very, very risky for me, nonetheless, not an easy decision to make, but it's a deposition.  It's not going to be in front of a judge.  And it's four million dollars.",
18394,Andy,Woo!,
20195,Michael,Disray .My friend Disray got news specs. Disray spect. My friend Inappro drives a Prius with his behind neighbor.,
15002,Andy,It's on!,
29069,Kelly,Well you know what my middle name is? Rajani Ghana! And I hate it! I hate it!,
43787,Michael,No. I am not going to be proposed to in the break room. That is not going to be our story. Mhm hm. Should have burned this place down when I had the chance.,
37742,Michael,Wow. [Pam knocks on Michaels door and goes in] That's exciting.,
58001,Erin,"Come on! Come on, Stanley! Stay in it!",
40358,Andy,"Well, Carla knows.",
23519,Michael,"Make the party.  Don't - make the party, please, Phyllis. [Phyllis starts inflating a balloon with a pump] Pump it!",
48819,Andy,I didn't even say what it is.,
22595,Angela,Yes.,
38757,Pam,"Oh, we're not interested. We're not interested at all.",
991,Oscar,"My nephew is involved with, um, a charity for cerebral palsy, and I was wondering if maybe you'd like to... you know... if...",
58125,Clark,"Dude, this size of my haunches' [Stanley's body slips down the stairs and his head thumps into a wall]",
30172,Michael,"I'm sorry, sorry.",
36095,Jo,"Thank you. You know I get way too many ideas from the top. Now I want to hear your ideas. I mean, did you guys know that Liquid Paper? That wasn't invented by some fancy engineer. No, that was created by a lowly typist.",
35472,Kelly,"Oh my God, Pam, you are a woman warrior.",
44852,Ryan,And I am also a very dutiful boyfriend when --,
33779,Pam,"Well, which is worse? Snapped or stuck?",
6755,Michael,[as cleaning lady with mask leaves] Here she comes.  All cleaned?  Great. [walks into office],
18636,Michael,"Now we wait, and hopefully nothing happens.",
20068,Creed,"Listen, I figured this out. Jimmy had his birthday three weeks ago, so he doesn't care.",
46301,Andy,I don't have any ideas though.,
56182,Dwight,"Oh, did I? Oh, yes, I did.",
39544,Dwight,Watch this.,
1211,Dwight,That's where they remove the uterus.,
40479,Erin,Why would I hide it! [giggling],
52757,Mose,"Hi, Angela.",
18343,Michael,Alright.  I'm ready to go and I'm callin' shotgun.,
55791,Kevin,"Pam, look out!",
26835,Michael,I will divide and then count to it.,
17216,Kevin,"[Pam walks out of the office into the parking lot alone. Kevin pops up from the back seat of his car as if spying] Oh well, if they aren't together now, then they probably never will be. I thought they'd be good together, like PB&J. Pam Beasley and Jim. What a waste. What - A - Waste!",
28936,Ryan,Sixty thousand dollars a year.,
27636,Michael,Okay.  Hello.,
44788,Deangelo,Yes.,
48726,Robert,I am. [laughs] I'm a mess.,
22458,Andy,"Angela, will you do me the honor... of giving me your tiny hand in marriage? [shows her a ring]",
34433,Michael,What the hell is going on?,
28127,Michael,"OK, here's what happened, David. It was all my idea. You called me and you were really angry at me and I got scared, so I had Dwight take the fall, but now, it turns out that it's a great idea and Dwight will not confess. Can you believe that?",
51891,Erin,"And Andy is the manager, not Nellie!",
14556,Ryan,Maybe.,
450,Angela,No.,
1126,Pam,Come on.,
12262,Pam,"Can I help you, Michael?",
3147,Dwight,[alarm sounds] People!,
59012,Casey,"That was amazing, man!",
34786,Eric,"[on the phone] Hey, uh, yeah, I finally got a chance to sit down with HR. So... well, I think I'm gonna be here for awhile.",
36275,Michael,"Okay. Happy St. Patrick's Day. [Starts to leave office] And also, I would like to say that I will be canceling my trip down to Tallahassee. Although I do look forward to our professional relationship.",
54787,Dwight,Text went through.,
23638,Jan,"All right.  Um, I'm just going to lie down for a couple of minutes.  I'm exhausted, so um.  Remind me to talk to you about Astrid's 529.  Wake me in twenty.",
50442,Darryl,"Uh, 'The moon is huge tonight.'",
25311,Andy,"Whoa, you haven't told the misses about the castle?  You're in for a spanking my friend.  Myself and my lady? - no secrets.",
58058,Jim,Okay. I was wondering if you ever did any couple's counseling.,
50878,Nellie,I just made you look like the goat of Dover. And that doesn't exist either.,
38996,Darryl,"Hey, I think this guy playing Sweeney Todd is my plumber.",
57416,Gabe,Give me one night with you...,
53004,Angela,"Really? Oh, Oscar, thank you!",
13144,Michael,"Good. Next up, Superfly himself, Stanley.",
53380,Jim,"That was really good, Darryl.",
24832,Michael,"I have an enormous amount of trouble trying to get people to come to my place. And I hate it. I can't tell you how much leftover guacamole I have ended up eating over the years. I don't even know why I make it in such great quantities. Here's what we're gonna do. We are going to sit here for a while, make it look good. And maybe you should cry. Can you make yourself cry?",
51824,Andy,You can't call a meeting. [laughs] But I would like to have a meeting in the conference room right now! So let's get in the conference room. Thank you. Good. Thank you for coming to my meeting.,
8786,I.D. Photographer,Off.,
4537,Dwight,"Uh, that is so stupid.  What if he gives it to you?",
45874,Dwight,Okay!,
16375,Meredith,Can we please pull over at the next rest stop?,
47638,Jim,"Okay. Uh, I don't. So are we good? [Jim leaves]",
53126,Clark,"You'll just come over, put on little lipstick, loosen up with a glass of red wine and then we'll just run through a few stories. You know, a couple different ways, with a couple different outfits. It'd be really tasteful and it'd really help me out with Duncan... with my friend. [Erin considers] What do you say? Huh?",
4111,Michael,"I know, but I've been carrying the load on my back all day, and if everybody would just chip in a little bit, it'd might help me out. What do you say? Let's gangbang this thing and go home. Good? Dwight.",
12703,Pam,It costs seventy five dollars.,
46242,Jim,"But I think it's big enough to buy you some time till your next great idea.which, by the way, I can't wait for.",
