id,speaker,line_text,"Sentiment (Negative=-1, Neutral=0, Positive=1)"
47252,Gabe,"Ok, but once this starts, it's going to be moving fast. It's going to be hot and heavy and I don't want a bunch of bureaucratic red tape wrapped around my jock. You know?",
15710,Andy,What?,
44150,Dwight,"Just a little announcement folks, remember, the Dundies is a black tie affair.",
45628,Phyllis,Is it true that you're making Dwight the manager?,
27785,Pam,"Oh, damn. [Pam looks down at her salad] They've been in there for like ten minutes.",
30347,Michael,"Oh, God! No! No! No! No! No!",
15241,Darryl,Way,
20762,Michael,"Yes, I did, for you, princess.  Even though I only went number one. [quietly to Jim] I didn't really wash my hands.  Ohhh, what have we here?  This looks delicious. [picks up amuse-bouche tray]",
43966,Dwight,"I want to be manager. I just don't understand why I wasn't even interviewed for the job. What's wrong? I was totally qualified, you were pushing for me.",
50449,Kelly,"Five dots, Darryl, are you kidding me? Okay, 'cause three dots means 'to be continued', four dots is a typo, but five dots means 'Whoa, do not make me say what I want to say, baby, but if I did, it would blow your mind, dot, dot, dot, dot, dot.",
9123,Michael,"Comedy is very much alive, as are homeless people.",
4568,Michael,"Well, surely this uh, review is a formality because of what happened uh, at our meeting in the parking lot of Chili's.",
12852,Packer,"Yeah, Mike, still nothing.",
22799,Phyllis,It's going well.,
27218,Andy,"Are you out of your damn mind? You bring an angel like that into this office, and you don't even set me up with her.",
41735,Jim,Yikes. [everyone gasps],
5880,Jan,"Hello, Michael.",
45931,Stanley,We get that every year.,
23496,Dwight,Aaaaaaaa!,
50513,Jim,"Okay alright. [gets up] I'm really sorry, uh, I just have to say it. I'm-I'm married. I'm very happily married.",
9879,Michael,Come on!,
9736,Michael,"I was shocked when he told me he was transferring to Stamford. It's like the firemen. You don't leave your brothers behind, even if you find out that there is a better fire in Connecticut.",
14702,Toby,Can you stop...,
49059,Robert,What could you possibly have found funny in what I said? What was the joke you thought you heard?,
23094,Michael,I know.  I love Counting Crows.,
16673,Karen,"Oh, you know I'm gonna have a congratulations Karen party um, tomorrow night at my friend's house.",
56582,Pam,I'm saying we should go scorched earth on that guy's face.,
356,Dwight,"A hero is part-human and part-supernatural. A hero is born out of a childhood trauma, or out of a disaster that must be avenged.",
17100,Michael,[groaning] I am going to be sick... I'm gonna puke.,
32186,Pam's mom,No.,
26706,Angela,Oscar.,
43351,Holly,Uhm.,
9626,Oscar,"I was going to quit.  But Jan offered me a three month paid vacation and a company car.  All I had to do was sign something saying I won't sue.  Gill and I are going to Europe.  Kids, sometimes it pays to be gay.",
45865,Andy,"Well, why don't you ask me again when the five pizzas get here.",
12385,Andy,"Hey, what's the haps? [Dwight shuts door in his face.]",
39131,Michael,"Yeah, I get those every day after work.",
23509,Michael,"I know.  I know.  It is beautiful.  No.  Thank you.  Is this it? I mean, is this... Two bowls of M&Ms and some balloons?  You know what Phyllis, I think you need to step it up.  I think you need to get the lead out.  Because if I'm not mistaken, we gave you your wedding shower here.  We all came into this room and gave you a golden shower.  Well you know what, where's my golden shower, Phyllis?",
27768,Michael,"Babe alert! [to the redhead]  Hello, I'm Michael Scott, welcome to our little shindig.",
52009,Pam,Tears of a clown!,
30710,Pam,How do you figure?,
50172,Dwight,Who's doing the presentations?,
