id,speaker,line_text,"Sentiment (Negative=-1, Neutral=0, Positive=1)"
49999,Ryan,"Me neither. Hey, will you put this coat on my chair? I just realized I'm not going to need it down there.",
9389,Jan,Fabulous time. I drove two and a half hours to get here.,
7338,Michael,There's a lot of choices. You got to help me here.,
16761,Dwight,"Listen up!  Come to the center of the room, please.  This... [holds up paper that resemles a sheet sized dollar bill with Dwight's face in the middle] is a Schrute Buck.  When you have done something good, you will receive one Schrute Buck.  One thousand Schrute Bucks... equals an extra five minutes for lunch.",
44174,DeAngelo,"That is true, we do share some similarities. I know how you can fix one of those problems, for me it was portion control. For you, you need a key chain. Maybe one with a-",
32563,Michael,Doubt it. [disconnects call],
45846,Jim,Nope. No dog video.,
26729,Jim,"No, no, no! Don't give him mouth to mouth for this!",
38938,Erin,"Oh, who else is going?",
49953,Dwight,"Hot? What are you talking about? This is a nice temperate Florida morning. Eighty-five degrees, seventy-five percent humidity. This is the exact environment you will be facing for the next three weeks of your life. Welcome to special projects orientation. The next three weeks of your life are gonna be the most miserable you've ever faced. They're gonna be hard, they're gonna be dirty. You're gonna wish you were dead.",
38144,Darryl,Pam.,
54487,Dwight,Will you run into the bathroom and tell him to eat it?,
25492,Michael,Are you kidding me?  That's my salad.,
42870,Erin,"I can't, 'cause there's no clue.",
16973,Michael,"This is going to be a very good year. Very good. Jan is at home. Jim is back. My protege Ryan is at corporate. Good stuff. Um... Andy and Dwight are rockin' the sales team. I feel very blessed. [slams on breaks, camera turns, Meredith rolls off the hood]",
40004,Dwight,"Garbage magnet. [throws magnet] Garbage magnet, God! Magnets are interesting enough, you don't need to tart them up with some design. [to Michael] I can't believe this doesn't make you mad!",
52803,Kevin,"Oh, what a summer! An emotional roller-coaster. I ran over a turtle in the parking lot, but then I saved him by gluing his shell back together. But I'm not that good at puzzles.",
17145,Michael,"[sighs] Oh, sh... I'm sorry Angela. Man what a day huh? How could it get any worse? Her computer crashes with the porn, and then Meredith with the accident, and then... Sprinkles! God, that's 3 things. I'll tell you what's going on. This office is cursed, and we need to do something about it.",
57026,Dwight,It's a divet...,
57516,Pam,"Hey, hey, guys. Wait. Before we accept these cupcakes, I think we need to have a conversation privately in the conference room. Don't eat the cupcake.",
18147,Michael,"And the same thing goes for quarterly reports.  They are unreadable.  They're just numbers and boring and blech.  So what I was thinking is that maybe we should have some sort of graphic, like if we have a bad quarter, put in a storm cloud? And... when we have a good quarter, fireworks? Or a racecar? [everyone groans] Doesn't have to be a racecar.  Use your imagination.",
45659,Ryan,"No, you're right, Pam, let's just leave him to the welfare system and let that handle it.",
34143,Erin,That's why you have a 'Sent Mail' folder.,
50108,Dwight,"[on phone] Yes, a complete inability to pass gas, pervert. Ugh, yeah, it's tender. It can't be appendicitis, I eat more than enough bacon. Okay, what poison mimics the symptoms of appendicitis? Oh, you don't know? Hold on. [to Jim] What kind of poison did you use?",
3191,Ryan,"Okay... uh, sorry?",
26280,Andy,Do you love him?,
27046,Pam,I think he meant personal day.,
35483,Erin,[naming race horses]  Affirmed.  Seattle Slew.  Secretariat.  Citation.  Assault.  Count Fleet.  Rollaway.  War Admiral.  Omaha.  Gallant Fox...  And...  I know this.  Uh...  The jockey was Johnny Loftus.  Sired by Star Shoot.,
47550,Andy,That is so mom.,
8769,Sheriff,Mace! You... You've been carrying around weapons-grade Mace?,
9939,Michael,"I'm sorry, man. I'm sorry. Hey, you know what? I will talk to her.",
37904,Kevin,Boi-oi-oi-ing,
